Date (UT),Time (yr),Freq (GHz),Flux (mJy),FluxErr (mJy),Lum (10^25 erg/s/Hz),LumErr,Instrument,Reference
27-Apr-1979,0.063,25.0,0.0,1.0,,,VLA,Weiler et al. (1986) (1.2 cm measurement)
27-Apr-1979,0.063,5.0,0.0,0.08,,,VLA,Weiler et al. (1986)
06-Apr-1980,1.005,5.0,5.3,0.2,,,VLA,Weiler et al. (1986)
30-Jun-1980,1.238,1.5,0.2,0.5,,,VLA,Weiler et al. (1986)
30-Jun-1980,1.238,5.0,8.3,0.44,,,VLA,Weiler et al. (1986)
28-Jul-1980,1.314,27.3,6.5,1.0,,,VLA,Weiler et al. (1986) (1.1 cm measurement)
05-Aug-1980,1.336,1.5,0.0,0.6,,,VLA,Weiler et al. (1986)
05-Aug-1980,1.336,5.0,7.6,0.47,,,VLA,Weiler et al. (1986)
05-Aug-1980,1.336,15.0,3.0,1.0,,,VLA,Weiler et al. (1986)
25-Oct-1980,1.558,5.0,6.8,0.27,,,VLA,Weiler et al. (1986)
04-Dec-1980,1.667,1.5,2.1,0.22,,,VLA,Weiler et al. (1986)
04-Dec-1980,1.667,5.0,6.9,0.27,,,VLA,Weiler et al. (1986)
04-Dec-1980,1.667,15.0,3.0,1.0,,,VLA,Weiler et al. (1986)
10-Jan-1981,1.769,1.5,2.5,0.18,,,VLA,Weiler et al. (1986)
10-Jan-1981,1.769,5.0,6.5,0.25,,,VLA,Weiler et al. (1986)
11-Feb-1981,1.856,1.5,2.7,0.22,,,VLA,Weiler et al. (1986)
11-Feb-1981,1.856,5.0,6.2,0.23,,,VLA,Weiler et al. (1986)
27-Feb-1981,1.9,1.5,2.8,0.23,,,VLA,Weiler et al. (1986)
27-Feb-1981,1.9,5.0,6.5,0.29,,,VLA,Weiler et al. (1986)
04-Mar-1981,1.914,1.5,2.8,0.32,,,VLA,Weiler et al. (1986)
04-Mar-1981,1.914,5.0,6.4,0.24,,,VLA,Weiler et al. (1986)
16-Apr-1981,2.031,1.5,4.4,0.26,,,VLA,Weiler et al. (1986)
16-Apr-1981,2.031,5.0,7.0,0.25,,,VLA,Weiler et al. (1986)
06-May-1981,2.086,1.5,4.8,0.27,,,VLA,Weiler et al. (1986)
06-May-1981,2.086,5.0,7.2,0.47,,,VLA,Weiler et al. (1986)
14-Jun-1981,2.193,1.5,6.0,0.46,,,VLA,Weiler et al. (1986)
14-Jun-1981,2.193,5.0,7.5,0.28,,,VLA,Weiler et al. (1986)
20-Jul-1981,2.292,1.5,7.1,0.4,,,VLA,Weiler et al. (1986)
20-Jul-1981,2.292,5.0,7.0,0.28,,,VLA,Weiler et al. (1986)
06-Aug-1981,2.338,1.5,7.1,0.4,,,VLA,Weiler et al. (1986)
06-Aug-1981,2.338,5.0,7.1,0.31,,,VLA,Weiler et al. (1986)
12-Sep-1981,2.439,1.5,7.6,0.49,,,VLA,Weiler et al. (1986)
12-Sep-1981,2.439,5.0,7.0,0.38,,,VLA,Weiler et al. (1986)
12-Sep-1981,2.439,15.0,2.8,0.5,,,VLA,Weiler et al. (1986)
18-Sep-1981,2.456,1.5,8.6,0.51,,,VLA,Weiler et al. (1986)
18-Sep-1981,2.456,5.0,7.9,0.33,,,VLA,Weiler et al. (1986)
20-Oct-1981,2.543,1.5,9.8,0.88,,,VLA,Weiler et al. (1986)
20-Oct-1981,2.543,5.0,8.2,0.29,,,VLA,Weiler et al. (1986)
06-Nov-1981,2.59,15.0,3.0,0.5,,,VLA,Weiler et al. (1986)
12-Nov-1981,2.606,1.5,6.5,1.1,,,VLA,Weiler et al. (1986)
12-Nov-1981,2.606,5.0,7.9,0.27,,,VLA,Weiler et al. (1986)
18-Dec-1981,2.705,1.5,8.6,0.81,,,VLA,Weiler et al. (1986)
18-Dec-1981,2.705,5.0,7.0,0.31,,,VLA,Weiler et al. (1986)
09-Jan-1982,2.765,1.5,9.5,0.61,,,VLA,Weiler et al. (1986)
09-Jan-1982,2.765,5.0,7.2,0.27,,,VLA,Weiler et al. (1986)
09-Feb-1982,2.85,1.5,10.2,0.43,,,VLA,Weiler et al. (1986)
