phase,freq,flux,flux_err,telescope
263.5,24.1,0.546,0.025,VLA
263.5,31.0,0.43,0.038,VLA
263.5,41.0,0.249,0.037,VLA
795.9,6.0,8.576,0.09,VLA
789.0,10.0,8.88,0.12,VLA
4.1,100.0,4.25,0.22,ALMA
7.1,100.0,7.42,0.38,ALMA
17.1,100.0,9.05,0.46,ALMA
21.0,93.5,7.41,0.99,ALMA
198.6,100.0,0.336,0.026,ALMA
213.5,92.1,0.322,0.036,ALMA
306.2,103.0,0.264,0.044,ALMA
1024.4,92.1,1.128,0.069,ALMA
1364.4,100.0,0.955,0.093,ALMA
4.1,250.0,4.21,0.43,ALMA
6.2,250.0,4.32,0.44,ALMA
17.1,250.0,2.49,0.28,ALMA
198.6,250.0,0.12,0.022,ALMA
1364.4,250.0,0.286,0.067,ALMA
1217.0,6.5,9.1,0.9,ALMA
1217.0,6.3,8.7,1.3,ALMA
1365.1,10.0,7.023,0.944,VLA
1363.2,15.1,6.476,0.818,VLA
1369.2,22.0,7.055,0.673,VLA
1369.1,33.0,4.48,0.15,VLA
1313.0,4.92,6.102,0.56,VLA
1738.0,6.0,6.069,1.18,VLA
1689.9,10.0,5.882,0.577,VLA
1712.0,15.1,4.85,0.053,VLA
1688.1,22.0,3.485,0.468,VLA
1702.2,33.0,3.072,0.177,VLA
1720.0,6.0,7.08,0.096,VLA
1758.0,3.0,5.86,0.734,VLA
2155.0,3.0,6.22,1.66,VLA
2154.0,6.0,12.228,0.56,VLA
2154.0,10.0,7.593,0.593,VLA
2154.0,15.1,8.68,0.1,VLA
2162.0,22.0,8.33,0.23,VLA
2094.0,6.0,11.29,0.67,VLA
2094.0,10.0,6.86,0.44,VLA
2158.0,4.92,12.86,0.8112,VLA
2471.0,3.0,16.2,0.95,VLA
2471.0,6.0,15.07,0.27,VLA
2476.0,10.0,13.309,0.059,VLA
2471.0,15.1,9.432,0.07,VLA
2480.0,22.0,7.92,0.16,VLA
2529.0,3.0,17.77,0.6,VLA
2529.0,6.0,15.755,0.052,VLA
2529.0,10.0,13.097,0.04,VLA
2561.0,3.0,13.478,1.98,VLASS
56.0,115.3,1.185,0.141,ALMA
305.2,115.3,0.291,0.051,ALMA
355.0,104.7,0.263,0.126,ALMA
1000.9,235.3,0.357,0.0083,ALMA
1031.9,99.3,1.072,0.0081,ALMA
2659.0,15.0,8.99,0.26,VLA
2659.0,20.0,7.61,0.17,VLA
2659.0,24.0,6.22,0.088,VLA
2659.0,22.0,7.23,0.088,VLA
2664.0,1.52,9.94,1.05,VLA
2668.0,10.0,11.38,0.337,VLA
2668.0,3.26,16.736,0.758,VLA
2668.0,6.1,14.273,0.426,VLA
